ID;Start time;Completion time;Email;Name;Attended_match_on_stadium;Role;City_with_stadium;Distance_from_stadium;Vehicle;Matches_attended;Usługi gastronomiczne;Usługi medyczne (dostępność produktów 1 pomocy);Proces zakupu biletów;Procesy ewakuacyjne (Czy wyjścia są jasno oznaczone itp.);Dostępność informacji o tym jak się zachować w przypadku niebezpieczeństwa;Dostęp do higieny (jakość toalet, produkty 1 potrzeby);Dojazd na stadion w dniu meczowym;Dostępność miejsc parkingowych;Ułatwienia dla osób niepełnosprawnych;Poczucie bezpieczeństwa;Praca służb porządkowych;Liczba personelu medycznego (czy jest ich odpowiednia liczba  w przypadku nagłego zasłabnięcia);Terminarz rozgrywek (Czy daty i godziny są dobrze zaplanowane) ;Proces wejścia i opuszczenia stadionu;Praca personelu stadionowego;Jakie aspekty Pana/Pani zdaniem powinny zostać poprawione? (NIEWYMAGANE);Rating_Ekstraklasa;Age;Sex;Education;Status_zawodowy
39;5.14.23 12:47:44;5.14.23 12:47:48;anonymous;;Nie;;;;;;;;;;;;;;;;;;;;;;;;;;
40;5.14.23 12:48:47;5.14.23 12:48:58;anonymous;;Nie;;;;;;;;;;;;;;;;;;;;;;;;;;
41;5.14.23 12:26:43;5.14.23 13:00:31;anonymous;;Tak;Kibic;Tak;0-10;Samochód;4-7;5;4;4;5;5;4;4;4;4;5;5;4;4;4;5;;3;18-25 lat;Kobieta;Podstawowe;Uczeń/student
42;5.14.23 13:01:07;5.14.23 13:01:12;anonymous;;Nie;;;;;;;;;;;;;;;;;;;;;;;;;;
43;5.14.23 13:00:58;5.14.23 13:02:11;anonymous;;Tak;Kibic;Nie;100+;Samochód;1-3;3;3;5;5;5;5;5;2;3;5;5;5;4;3;4;;5;18-25 lat;Mężczyzna;Średnie;Pracujący
44;5.14.23 13:00:53;5.14.23 13:02:59;anonymous;;Tak;Kibic;Tak;0-10;Autobus;4-7;3;4;4;5;4;2;4;5;5;5;5;5;3;4;4;;4;18-25 lat;Mężczyzna;Średnie;Uczeń/student
46;5.14.23 12:58:26;5.14.23 13:09:04;anonymous;;Tak;Kibic;Tak;0-10;Tramwaj;1-3;5;5;5;5;4;5;5;4;5;5;4;4;5;5;5;;3;26-35 lat;Kobieta;Średnie;Pracujący
47;5.14.23 13:14:33;5.14.23 13:16:48;anonymous;;Tak;Kibic;Tak;0-10;Pieszo;1-3;3;3;2;5;3;4;3;2;2;2;2;3;3;3;3;;4;18-25 lat;Mężczyzna;Średnie;Uczeń/student
48;5.14.23 13:19:13;5.14.23 13:23:00;anonymous;;Tak;Kibic;Tak;10-50;Autobus;4-7;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;4;Poniżej 18 lat;Kobieta;Podstawowe;Uczeń/student
49;5.14.23 13:24:05;5.14.23 13:24:21;anonymous;;Nie;;;;;;;;;;;;;;;;;;;;;;;;;;
50;5.14.23 13:31:56;5.14.23 13:32:18;anonymous;;Nie;;;;;;;;;;;;;;;;;;;;;;;;;;
51;5.14.23 13:36:14;5.14.23 13:38:54;anonymous;;Tak;Media;Tak;0-10;Autobus;1-3;4;3;3;3;3;3;4;3;3;3;2;4;4;4;4;;3;18-25 lat;Mężczyzna;Średnie;Uczeń/student pracujący
52;5.14.23 13:41:20;5.14.23 13:43:31;anonymous;;Tak;Kibic;Nie;100+;Pociąg;1-3;5;4;5;5;5;5;4;5;5;5;5;5;5;4;4;;3;18-25 lat;Mężczyzna;Średnie;Uczeń/student pracujący
53;5.14.23 13:37:11;5.14.23 13:50:00;anonymous;;Tak;Kibic;Nie;51-100;Samochód;1-3;2;2;2;3;2;2;2;1;2;2;2;2;3;3;2;;3;Poniżej 18 lat;Mężczyzna;Podstawowe;Uczeń/student
54;5.14.23 13:51:35;5.14.23 13:52:42;anonymous;;Tak;Kibic;Nie;10-50;Samochód;1-3;5;4;5;3;3;4;3;2;3;3;3;3;4;3;3;;4;18-25 lat;Mężczyzna;Wyższe;Uczeń/student
55;5.14.23 13:51:21;5.14.23 13:53:15;anonymous;;Tak;Sportowiec (Członek jednej z drużyn / Sędzia);Tak;0-10;Samochód;4-7;1;2;5;5;4;2;2;3;4;4;4;5;4;3;4;;4;18-25 lat;Mężczyzna;Średnie;Uczeń/student pracujący
56;5.14.23 13:53:35;5.14.23 13:55:58;anonymous;;Tak;Kibic;Tak;0-10;Pieszo;4-7;2;3;5;4;3;2;1;3;3;2;3;2;4;4;3;;3;26-35 lat;Mężczyzna;Wyższe;Pracujący
57;5.14.23 13:55:43;5.14.23 13:57:13;anonymous;;Tak;Kibic;Tak;0-10;Samochód;4-7;4;4;5;5;5;5;4;2;4;5;5;4;5;5;5;;4;26-35 lat;Mężczyzna;Wyższe;Pracujący
58;5.14.23 13:57:37;5.14.23 13:57:48;anonymous;;Nie;;;;;;;;;;;;;;;;;;;;;;;;;;
59;5.14.23 14:01:21;5.14.23 14:04:56;anonymous;;Tak;Sportowiec (Członek jednej z drużyn / Sędzia);Nie;10-50;Pociąg;8 i więcej;4;4;3;5;4;3;5;4;5;4;4;5;4;4;5;;4;26-35 lat;Mężczyzna;Średnie;Uczeń/student
60;5.14.23 14:13:03;5.14.23 14:15:09;anonymous;;Tak;Kibic;Tak;0-10;Pieszo;8 i więcej;3;1;5;2;1;4;5;3;3;5;1;2;2;3;2;;3;26-35 lat;Mężczyzna;Średnie;Pracujący
61;5.14.23 14:19:58;5.14.23 14:24:25;anonymous;;Tak;Kibic;Nie;10-50;Samochód;4-7;1;3;4;4;2;4;4;2;3;4;2;2;1;4;4;;3;18-25 lat;Mężczyzna;Średnie;Pracujący
62;5.14.23 14:29:35;5.14.23 14:32:11;anonymous;;Tak;Kibic;Nie;10-50;Samochód;8 i więcej;3;3;3;3;3;2;2;2;2;5;3;2;3;3;3;;3;18-25 lat;Mężczyzna;Średnie;Uczeń/student pracujący
63;5.14.23 14:30:46;5.14.23 14:34:35;anonymous;;Tak;Kibic;Tak;0-10;Autobus;4-7;5;5;5;4;3;3;2;2;3;4;3;3;3;3;3;Wzmocnienie komunikacji miejskiej przed/po meczu w okolicach stadionu.;3;18-25 lat;Mężczyzna;Średnie;Uczeń/student
64;5.14.23 14:41:15;5.14.23 14:44:39;anonymous;;Tak;Kibic;Tak;10-50;Samochód;1-3;1;4;5;3;1;4;4;5;3;2;4;3;4;4;3;Piwo powinni sprzedawać;3;18-25 lat;Mężczyzna;Średnie;Uczeń/student pracujący
65;5.14.23 15:08:28;5.14.23 15:08:35;anonymous;;Nie;;;;;;;;;;;;;;;;;;;;;;;;;;
66;5.14.23 15:08:40;5.14.23 15:08:42;anonymous;;Nie;;;;;;;;;;;;;;;;;;;;;;;;;;
67;5.14.23 15:08:45;5.14.23 15:08:47;anonymous;;Nie;;;;;;;;;;;;;;;;;;;;;;;;;;
68;5.14.23 15:08:50;5.14.23 15:08:51;anonymous;;Nie;;;;;;;;;;;;;;;;;;;;;;;;;;
69;5.14.23 15:08:56;5.14.23 15:08:58;anonymous;;Nie;;;;;;;;;;;;;;;;;;;;;;;;;;
70;5.14.23 15:08:59;5.14.23 15:09:00;anonymous;;Nie;;;;;;;;;;;;;;;;;;;;;;;;;;
71;5.14.23 15:09:01;5.14.23 15:09:02;anonymous;;Nie;;;;;;;;;;;;;;;;;;;;;;;;;;
72;5.14.23 15:09:03;5.14.23 15:09:04;anonymous;;Nie;;;;;;;;;;;;;;;;;;;;;;;;;;
73;5.14.23 15:43:21;5.14.23 15:57:10;anonymous;;Tak;Kibic;Tak;0-10;Samochód;8 i więcej;4;4;4;5;3;5;5;5;5;5;2;4;3;3;5;;3;Poniżej 18 lat;Mężczyzna;Średnie;Uczeń/student
74;5.14.23 15:57:19;5.14.23 15:59:13;anonymous;;Tak;Kibic;Tak;0-10;Samochód;8 i więcej;3;2;3;2;2;1;2;1;2;2;1;1;2;2;2;Policja nie powinna się czepiać kibiców o wszystko ;4;18-25 lat;Mężczyzna;Średnie;Uczeń/student
75;5.14.23 16:11:02;5.14.23 16:11:06;anonymous;;Nie;;;;;;;;;;;;;;;;;;;;;;;;;;
76;5.14.23 16:33:34;5.14.23 16:35:08;anonymous;;Tak;Kibic;Tak;10-50;Samochód;4-7;1;1;2;2;1;1;2;1;1;2;2;2;1;3;2;;3;26-35 lat;Mężczyzna;Średnie;Pracujący
77;5.14.23 16:52:26;5.14.23 16:54:21;anonymous;;Tak;Kibic;Tak;10-50;Tramwaj;1-3;1;2;2;2;2;1;2;1;2;2;2;2;2;2;2;;3;18-25 lat;Mężczyzna;Zawodowe;Pracujący
78;5.14.23 17:01:19;5.14.23 17:02:49;anonymous;;Tak;Kibic;Nie;10-50;Samochód;1-3;5;5;5;5;5;3;4;4;5;5;5;5;5;5;5;;5;26-35 lat;Mężczyzna;Średnie;Pracujący
79;5.14.23 17:14:20;5.14.23 17:16:19;anonymous;;Tak;Kibic;Nie;100+;Samochód;4-7;3;5;5;4;3;5;4;5;5;5;5;3;1;5;5;;3;18-25 lat;Kobieta;Wyższe;Uczeń/student
80;5.14.23 17:57:17;5.14.23 17:59:42;anonymous;;Tak;Kibic;Tak;10-50;Samochód;4-7;4;5;5;5;4;3;5;5;5;5;5;5;4;4;4;;4;Poniżej 18 lat;Mężczyzna;Podstawowe;Uczeń/student
81;5.14.23 18:10:33;5.14.23 18:10:35;anonymous;;Nie;;;;;;;;;;;;;;;;;;;;;;;;;;
82;5.14.23 18:07:48;5.14.23 18:11:22;anonymous;;Tak;Kibic;Nie;10-50;Samochód;1-3;5;5;4;4;4;5;4;3;4;5;5;5;4;4;5;;4;18-25 lat;Mężczyzna;Średnie;Pracujący
83;5.14.23 18:12:26;5.14.23 18:12:34;anonymous;;Nie;;;;;;;;;;;;;;;;;;;;;;;;;;
84;5.14.23 18:43:16;5.14.23 18:43:32;anonymous;;Nie;;;;;;;;;;;;;;;;;;;;;;;;;;
85;5.14.23 19:04:11;5.14.23 19:04:16;anonymous;;Nie;;;;;;;;;;;;;;;;;;;;;;;;;;
86;5.14.23 19:46:35;5.14.23 19:49:22;anonymous;;Tak;Kibic;Nie;10-50;Pociąg 1 + Pociąg 2;4-7;2;4;5;5;3;4;5;5;5;3;4;4;3;5;4;;4;18-25 lat;Mężczyzna;Podstawowe;Uczeń/student
87;5.14.23 19:51:35;5.14.23 19:51:38;anonymous;;Nie;;;;;;;;;;;;;;;;;;;;;;;;;;
88;5.14.23 20:21:48;5.14.23 20:22:09;anonymous;;Nie;;;;;;;;;;;;;;;;;;;;;;;;;;
89;5.14.23 20:22:51;5.14.23 20:24:35;anonymous;;Tak;Kibic;Nie;100+;Samochód;1-3;4;4;5;4;3;4;5;4;5;5;4;4;5;4;4;;3;Poniżej 18 lat;Mężczyzna;Podstawowe;Uczeń/student
90;5.14.23 20:38:59;5.14.23 20:40:48;anonymous;;Tak;Kibic;Tak;0-10;Samochód;8 i więcej;3;4;4;5;4;3;3;4;4;5;5;5;4;5;5;Ekstraklasa powinna publikować terminarz z jeszcze większym wyprzedzeniem niż dotychczas ;4;18-25 lat;Mężczyzna;Średnie;Uczeń/student
91;5.14.23 21:25:38;5.14.23 21:27:10;anonymous;;Tak;Kibic;Tak;10-50;Samochód;8 i więcej;2;3;3;3;3;2;2;1;3;3;3;3;2;2;2;;3;18-25 lat;Mężczyzna;Średnie;Pracujący
92;5.14.23 21:37:33;5.14.23 21:37:38;anonymous;;Nie;;;;;;;;;;;;;;;;;;;;;;;;;;
93;5.14.23 22:05:42;5.14.23 22:07:29;anonymous;;Tak;Kibic;Tak;0-10;Samochód;8 i więcej;4;4;5;5;4;3;4;3;4;5;4;4;4;4;4;;4;36-45 lat;Kobieta;Wyższe;Pracujący
94;5.14.23 22:08:57;5.14.23 22:11:51;anonymous;;Tak;Kibic;Tak;0-10;Autobus+skm dla kibicow;8 i więcej;2;4;5;5;3;3;5;5;5;5;5;5;3;5;5;Ceny w punktach gastronomicznych oraz przy liczbie kibicow 20tys + dlugo trzeba czekac w kolejce;5;18-25 lat;Mężczyzna;Podstawowe;Uczeń/student
95;5.14.23 23:35:07;5.14.23 23:35:13;anonymous;;Nie;;;;;;;;;;;;;;;;;;;;;;;;;;
96;5.14.23 23:44:13;5.14.23 23:44:25;anonymous;;Nie;;;;;;;;;;;;;;;;;;;;;;;;;;
97;5.15.23 6:34:25;5.15.23 6:38:46;anonymous;;Tak;Kibic;Nie;10-50;Samochód;1-3;3;3;5;5;3;4;3;4;2;3;3;4;3;5;4;;4;36-45 lat;Kobieta;Średnie;Pracujący
98;5.15.23 7:19:32;5.15.23 7:21:08;anonymous;;Tak;Kibic;Nie;100+;Samochód;1-3;3;4;5;5;3;2;3;3;3;4;3;3;2;3;4;;3;Poniżej 18 lat;Mężczyzna;Podstawowe;Uczeń/student
99;5.15.23 9:09:55;5.15.23 9:10:00;anonymous;;Nie;;;;;;;;;;;;;;;;;;;;;;;;;;
100;5.15.23 9:30:28;5.15.23 9:34:15;anonymous;;Tak;Kibic;Tak;0-10;Pieszo;8 i więcej;2;3;3;2;1;2;1;1;3;2;3;2;2;3;2;"Wybieranie sędziów przez komitet sędziowski ;)";3;26-35 lat;Mężczyzna;Średnie;Pracujący
101;5.15.23 10:14:03;5.15.23 10:16:07;anonymous;;Tak;Kibic;Tak;10-50;Pociąg;4-7;3;3;4;4;4;3;4;1;3;3;3;3;3;3;3;;3;18-25 lat;Mężczyzna;Średnie;Uczeń/student pracujący
102;5.15.23 10:16:33;5.15.23 10:18:11;anonymous;;Tak;Kibic;Tak;10-50;Samochód+autobus;8 i więcej;3;2;3;2;1;2;3;2;2;3;2;2;3;1;2;;3;18-25 lat;Mężczyzna;Średnie;Uczeń/student
103;5.15.23 10:17:57;5.15.23 10:21:06;anonymous;;Tak;Kibic;Tak;10-50;Samochód;1-3;4;4;5;5;3;4;3;4;3;4;4;4;5;5;5;;3;Poniżej 18 lat;Mężczyzna;Uczę się jeszcze;Uczeń/student
104;5.15.23 11:20:27;5.15.23 11:20:38;anonymous;;Nie;;;;;;;;;;;;;;;;;;;;;;;;;;
105;5.15.23 14:14:22;5.15.23 14:15:56;anonymous;;Tak;Kibic;Tak;0-10;Autobus;1-3;4;4;4;4;3;2;4;3;4;4;4;4;4;4;2;;4;18-25 lat;Mężczyzna;Średnie;Uczeń/student pracujący
106;5.15.23 16:28:36;5.15.23 16:28:39;anonymous;;Nie;;;;;;;;;;;;;;;;;;;;;;;;;;
107;5.15.23 20:44:55;5.15.23 20:47:13;anonymous;;Tak;Kibic;Tak;0-10;Autobus;1-3;3;4;2;4;2;2;3;1;4;4;3;4;5;3;4;;3;18-25 lat;Mężczyzna;Średnie;Uczeń/student
108;5.16.23 4:24:49;5.16.23 4:27:08;anonymous;;Tak;Kibic;Nie;10-50;Autobus;1-3;1;1;1;1;1;1;2;2;2;2;1;2;1;1;1;Jedzenie ;4;18-25 lat;Mężczyzna;Średnie;Pracujący
109;5.16.23 11:39:06;5.16.23 11:40:39;anonymous;;Tak;Kibic;Nie;100+;Samochód;1-3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;;4;18-25 lat;Mężczyzna;Średnie;Uczeń/student pracujący
110;5.16.23 21:12:32;5.16.23 21:15:51;anonymous;;Tak;Kibic;Tak;0-10;Pieszo;8 i więcej;2;3;3;2;2;4;4;3;5;4;4;4;4;3;4;;3;26-35 lat;Kobieta;Średnie;Pracujący
111;5.17.23 14:03:12;5.17.23 14:05:13;anonymous;;Tak;Kibic;Nie;10-50;Samochód;1-3;3;3;4;5;2;2;4;2;3;4;3;4;2;3;3;Terminarz;3;Poniżej 18 lat;Mężczyzna;Średnie;Uczeń/student
112;5.17.23 19:39:01;5.17.23 19:39:19;anonymous;;Nie;;;;;;;;;;;;;;;;;;;;;;;;;;
113;5.21.23 1:31:27;5.21.23 1:31:32;anonymous;;Nie;;;;;;;;;;;;;;;;;;;;;;;;;;
114;5.21.23 1:31:37;5.21.23 1:32:00;anonymous;;Nie;;;;;;;;;;;;;;;;;;;;;;;;;;
115;5.21.23 18:23:30;5.21.23 18:40:02;anonymous;;Tak;Kibic;Tak;0-10;Samochód;4-7;3;4;3;5;4;4;5;5;2;4;3;5;3;3;4;Zarząd klubu nieudolnie nim zarządza. Cena za przekąski jest mocno zawyżona, piwo chrzczone, obsługa bufetu nie ogarnia. Niewygodny system sprzedaży biletów (słaba przepustowość między innymi kas przystadionowych), ta sama kwestia przepustowości dotyczy bramek wejściowych na stadion. Sam stadion mógłby być lepiej przystosowany do potrzeb osób z niepełnosprawnościami. Co do samej ekstraklasy, zdarza się że mecze są zaplanowane na pory nie pasujące większości kibicą (np środa wczesnym popołudniem). Praca arbitrów pozostawia często sporo do życzenia (zwłaszcza biorąc pod uwagę dostępność do nowoczesnych rozwiązań typu VAR). ;3;18-25 lat;Mężczyzna;Wyższe;Uczeń/student pracujący
116;5.21.23 18:41:58;5.21.23 18:42:42;anonymous;;Tak;Kibic;Tak;10-50;Pociąg;4-7;1;4;2;5;4;2;5;3;4;5;4;5;5;4;4;;4;18-25 lat;Mężczyzna;Średnie;Uczeń/student
117;5.21.23 19:00:01;5.21.23 19:01:46;anonymous;;Tak;Kibic;Tak;0-10;Samochód;1-3;2;4;3;4;4;4;4;3;4;5;4;4;4;4;4;;3;18-25 lat;Mężczyzna;Średnie;Uczeń/student
118;5.21.23 22:07:25;5.21.23 22:09:28;anonymous;;Tak;Kibic;Nie;10-50;Autobus;4-7;5;5;5;5;5;3;5;3;5;4;5;5;3;1;5;;2;18-25 lat;Mężczyzna;Średnie;Pracujący
